question,réponse,difficulté
Quel est le plus grand océan du monde,L'océan Pacifique|Océan Pacifique,1
Comment appelle-t-on le bébé du chat,Un chaton|Chaton,1
Quelle planète est surnommée la planète rouge,Mars,1
Combien de pattes a une araignée,8,1
Quel est le nom du président actuel de la République française,Emmanuel Macron|Macron,1
Quelle couleur obtient-on en mélangeant du bleu et du jaune,Vert|Le vert,1
Quelle est la capitale de la France,Paris,1
Comment s’appelle l’auteur du Petit Prince,Antoine de Saint-Exupéry|Saint-Exupéry,1
Combien de minutes y a-t-il dans une heure,60 minutes|60,1
En quelle saison perdent leurs feuilles la plupart des arbres,En automne|Automne,1
Quelle est la monnaie utilisée en Espagne,L’euro|Euro,1
De quel continent fait partie le Sahara,L’Afrique|Afrique,1
Quel est l’animal le plus rapide du monde,Le guépard|Guépard,1
Combien y a-t-il de continents sur Terre,7,1
Dans quel sport utilise-t-on une raquette et un volant,Le badminton|Badminton,1
Quel est le plus grand pays du monde en superficie,La Russie|Russie,1
Quel fruit est connu pour son goût acide et sa couleur jaune,Le citron|Citron,1
Combien de côtés a un triangle,3 côtés|3,1
Qui a peint la Joconde,Léonard de Vinci|De Vinci|Vinci,1
Quel est l’ingrédient principal du pain,La farine|Farine,1
Quel est le symbole chimique de l’eau,H₂O|H2O,2
Dans quel pays se trouve la grande muraille de Chine,La Chine|Chine,2
Combien de joueurs y a-t-il dans une équipe de football sur le terrain,11 joueurs|11,2
Quelle année a marqué la fin de la Seconde Guerre mondiale,1945,2
Dans quel pays se trouve la ville de Tokyo,Le Japon|Japon,2
Quelle est la langue officielle du Brésil,Le portugais|Portugais,2
Qui est le dieu du tonnerre dans la mythologie nordique,Thor,2
Combien de lunes a la planète Terre,Une seule|1,2
Quel est le plus long fleuve d'Afrique,Le Nil|Nil,2
En musique combien y a-t-il de cordes sur une guitare classique,6 cordes|6,2
Quel est le nombre de faces d’un cube,6 faces|6,2
Quelle est la racine carrée de 64,8,2
Qui a écrit Les Misérables,Victor Hugo|Hugo,2
Quelle est la température de l’eau lorsqu’elle bout,100 °C|100,2
Dans quel pays se trouve la ville de Sydney,L’Australie|Australie,2
Quelle est la durée d’une année sur Terre (en jours non bissexstile),365 jours|365,2
En géographie que signifie G7,Groupe des 7 pays économiquement avancés|Groupe des 7,2
Quel est le nom de l’organe qui pompe le sang dans le corps humain,Le cœur|Cœur|Coeur,2
Dans quelle galaxie se trouve la Terre,La Voie lactée|Voie lactée,2
Quelle est la capitale de l’Italie,Rome,2
Quelle est la formule chimique du dioxyde de carbone,CO₂|CO2,3
Quel mathématicien a donné son nom au théorème a² + b² = c²,Pythagore,3
Quel est le pays le moins peuplé au monde,Le Vatican|Vatican,3
En quelle année Christophe Colomb a-t-il découvert l’Amérique,1492,3
Quelle est la capitale de l’Islande,Reykjavik,3
Quel écrivain est surnommé le Barde immortel,William Shakespeare|Shakespeare,3
Quel est l’élément chimique avec le symbole Fe,Le fer|Fer,3
Dans quel océan se trouve l’île de Madagascar,L’océan Indien|Océan Indien,3
Quel scientifique est connu pour sa théorie de la relativité,Albert Einstein|Einstein,3
Quel pays est surnommé le pays du soleil levant,Le Japon|Japon,3
Quel est le plus petit os du corps humain,L’étrier|Étrier|Etrier,3
En quelle année a été prise la Bastille pendant la Révolution française,1789,3
Quel est le plus grand désert froid du monde,L’Antarctique|Antarctique,3
Quel astronome a confirmé que la Terre tourne autour du Soleil,Galilée|Galileo,3
Quel peintre est connu pour ses Nymphéas,Claude Monet|Monet,3
Quel est le plus grand satellite naturel du système solaire,Ganymède|Ganymede,3
Combien y a-t-il d’états aux États-Unis,50,3
Quel est le nom du volcan situé en Italie qui a détruit Pompéi,Le Vésuve|Vésuve,3
Quelle est la distance moyenne entre la Terre et la Lune (en kilomètres),Environ 384 400 km|384400,3
Quel philosophe grec est le maître de Platon,Socrate,3

